group	legacy	type	default	proposed_name	status	mesa_note	doc
physics	lsolid	logical	.false.*	force_solid_body_rotation	canonical		former common/sbrot/: force_solid_body_rotation/solid_body_mode_flag (originally lsolid/impjmod) are NAMELIST values with different canonical spellings, kept local in cor
physics	impjmod	integer	0*	solid_body_mode_flag	canonical		
physics	dmdt0	real	0.0*	mass_change	canonical	mesa: mass_change	former common/masschg/: mass-accretion/Reimers-wind parameters, all NAMELIST /physics/ values. use_mass_accretion can be flipped off mid-run by wind/mdot.f90 (if a circum
physics	fczdmdt	real	0.0*	accretion_cz_fraction	verified		mdot: accreted-mass fraction deposited in the CZ
physics	ftotdmdt	real	0.0*	accretion_total_fraction	verified		mdot: total accreted-mass fraction parameter
physics	compacc	real(15)	0.0*	accreted_composition	canonical		
physics	creim	real	0.0*	reimers_scaling_factor	proposed	mesa: Reimers_scaling_factor	Reimers mass-loss efficiency eta
physics	lreimer	logical	.false.*	use_reimers_wind	proposed		Enable Reimers red-giant mass loss
physics	lmdot	logical	.false.*	use_mass_change	canonical	mesa: mass_change on/off	
physics	lopale01	logical	.false.*	use_opal2001_eos	canonical		former common/opaleos/: use_opal95_eos/use_opal2001_eos/ use_opal2006_eos/use_numerical_derivatives (originally lopale/ lopale01/lopale06/lnumderiv) are NAMELIST values w
physics	lcondopacp	logical	.false.*	use_conductive_opacity	canonical		
physics	lopale06	logical	.false.*	use_opal2006_eos	canonical		former common/opaleos/: use_opal95_eos/use_opal2001_eos/ use_opal2006_eos/use_numerical_derivatives (originally lopale/ lopale01/lopale06/lnumderiv) are NAMELIST values w
physics	lnumderiv	logical	.false.*	use_numerical_derivatives	canonical		
physics	alatm_feh	real	0d0	allard_target_feh	canonical		former common/alatm03/: allard_target_feh/allard_target_alpha/ allard_use_tau100 (originally alatm_feh/alatm_alpha/laltptau100) are NAMELIST values with different canonic
physics	alatm_alpha	real	0d0	allard_target_alpha	canonical		former common/alatm03/: allard_target_feh/allard_target_alpha/ allard_use_tau100 (originally alatm_feh/alatm_alpha/laltptau100) are NAMELIST values with different canonic
physics	laltptau100	logical	.false.	allard_use_tau100	canonical		
physics	cstmixing	real	0.0*	constant_mixing_coeff	proposed		Constant added diffusion coefficient (mixing)
physics	cstdiffmix	real	0.0*	constant_settling_reduction	proposed		Constant coefficient mimicking mixing to reduce settling
physics	lsolwind	logical	.false.	calibrate_solar_wind	todo		TODO verify: solar wind-loss calibration mode
physics	lmwind	logical	.false.*	use_pmm_wind_law	canonical		
physics	lrossby	logical	.false.*	scale_by_rossby_number	canonical		
physics	lpmm	logical	.false.*	use_pmm_wind	proposed		Use the PMM wind law (Somers pinned Matt-style)
physics	lbscale	logical	.false.*	scale_by_b_field	canonical		
physics	awind	string	''*	wind_law_name	canonical		
physics	pmma	real	0.0*	pmm_exponent_a	canonical		former common/pmmwind/: pmm_exponent_a/pmm_exponent_b/ pmm_exponent_c/pmm_exponent_d/pmm_exponent_m/pmm_norm_jdot/ pmm_norm_mdot/pmm_solar_pressure/pmm_solar_omega/ pmm_s
physics	pmmb	real	0.0*	pmm_exponent_b	canonical		former common/pmmwind/: pmm_exponent_a/pmm_exponent_b/ pmm_exponent_c/pmm_exponent_d/pmm_exponent_m/pmm_norm_jdot/ pmm_norm_mdot/pmm_solar_pressure/pmm_solar_omega/ pmm_s
physics	pmmc	real	0.0*	pmm_exponent_c	canonical		former common/pmmwind/: pmm_exponent_a/pmm_exponent_b/ pmm_exponent_c/pmm_exponent_d/pmm_exponent_m/pmm_norm_jdot/ pmm_norm_mdot/pmm_solar_pressure/pmm_solar_omega/ pmm_s
physics	pmmd	real	0.0*	pmm_exponent_d	canonical		
physics	pmmm	real	0.0*	pmm_exponent_m	canonical		
physics	pmmjd	real	0.0*	pmm_norm_jdot	canonical		
physics	pmmmd	real	0.0*	pmm_norm_mdot	canonical		
physics	pmmwmax	real	0.0*	pmm_omega_sat	proposed		PMM wind: saturation omega
physics	pmmsolp	real	0.0*	pmm_solar_pressure	canonical		
physics	pmmsolw	real	0.0*	pmm_solar_omega	canonical		
physics	pmmsoltau	real	0.0*	pmm_solar_turnover_timescale	canonical		
physics	lcodm	logical	.false.*	use_constant_background_diffusion	canonical		
physics	codm	real	0.0*	constant_background_diffusion_coeff	canonical		former common/mag/: constant_background_diffusion_coeff/ use_constant_background_diffusion (originally codm/lcodm) are NAMELIST values with different canonical spellings,
physics	wmax_sun	real	0.0*	solar_omega_sat	proposed		Saturation omega for the solar-calibrated wind
physics	xsli6	real	0.0*	li6_rate_value	verified		Li6 burning cross-section override (sets sli6 = value/5.5e3 when scale_li6_rate)
physics	xsli7	real	0.0*	li7_rate_value	verified		Li7 burning cross-section override (value/5.2e1)
physics	xsbe91	real	0.0*	be9_rate_value1	verified		Be9 cross-section override 1 (value/1.1)
physics	xsbe92	real	0.0*	be9_rate_value2	verified		Be9 cross-section override 2 (value/1.5e4)
physics	xsbe93	real	0.0*	be9_rate_value3	verified		Be9 cross-section override 3 (value/1.5e4)
physics	lxli6	logical	.false.*	scale_li6_rate	verified		Apply li6_rate_value
physics	lxli7	logical	.false.*	scale_li7_rate	verified		Apply li7_rate_value
physics	lxbe91	logical	.false.*	scale_be9_rate1	verified		Apply be9_rate_value1
physics	lxbe92	logical	.false.*	scale_be9_rate2	verified		Apply be9_rate_value2
physics	lxbe93	logical	.false.*	scale_be9_rate3	verified		Apply be9_rate_value3
physics	sli6	real	0.0*	li6_rate_scale	canonical		former common/burnscs/: light-element cross-section scale factors. core/parmin.f90's own local names (sli6 etc) are themselves NAMELIST /physics/ members (see that file's
physics	sli7	real	0.0*	li7_rate_scale	canonical		former common/burnscs/: light-element cross-section scale factors. core/parmin.f90's own local names (sli6 etc) are themselves NAMELIST /physics/ members (see that file's
physics	sbe91	real	0.0*	be9_pg_rate_scale	canonical		
physics	sbe92	real	0.0*	be9_pd_rate_scale	canonical		
physics	sbe93	real	0.0*	be9_palpha_rate_scale	canonical		
physics	lnewnuc	logical	.false.	use_new_nuclear_rates	canonical		
physics	spotf	real	0.0*	spot_filling_factor	canonical		former common/spots/: all 3 members are NAMELIST /physics/ values, same namelist-can't-rename treatment as above -- core/parmin.f90 keeps its local spotf/spotx/lsdepth an
physics	spotx	real	0.0*	spot_temp_contrast	canonical		
physics	lsdepth	logical	.false.*	spot_depth_varies	canonical		
physics	s0_1_1	real	0.0*	s0_pp	canonical		former common/newcross/: user-supplied nuclear reaction S-factors (and first/second derivative ratios relative to the Adelberger et al. 1998 Solar Fusion I values). s0_pp
physics	s0_3_3	real	0.0*	s0_he3he3	canonical		former common/newcross/: user-supplied nuclear reaction S-factors (and first/second derivative ratios relative to the Adelberger et al. 1998 Solar Fusion I values). s0_pp
physics	s0_3_4	real	0.0*	s0_he3he4	canonical		former common/newcross/: user-supplied nuclear reaction S-factors (and first/second derivative ratios relative to the Adelberger et al. 1998 Solar Fusion I values). s0_pp
physics	s0_1_12	real	0.0*	s0_p_c12	canonical		former common/newcross/: user-supplied nuclear reaction S-factors (and first/second derivative ratios relative to the Adelberger et al. 1998 Solar Fusion I values). s0_pp
physics	s0_1_13	real	0.0*	s0_p_c13	canonical		former common/newcross/: user-supplied nuclear reaction S-factors (and first/second derivative ratios relative to the Adelberger et al. 1998 Solar Fusion I values). s0_pp
physics	s0_1_14	real	0.0*	s0_p_n14	canonical		
physics	s0_1_16	real	0.0*	s0_p_o16	canonical		
physics	s0_pep	real	0.0*	s0_pep	keep		
physics	s0_1_be7e	real	0.0*	s0_be7_electron	canonical		
physics	s0_1_be7p	real	0.0*	s0_be7_p	canonical		
physics	s0_hep	real	0.0*	s0_hep	keep		
physics	s0_1_15_c12alp	real	0.0*	s0_n15_p_c12_branch	canonical		
physics	s0_1_15_o16	real	0.0*	s0_n15_p_o16_branch	canonical		
physics	s0p_1_1	real	0.0*	s0p_pp	canonical		
physics	s0p_3_3	real	0.0*	s0p_he3he3	canonical		
physics	s0p_3_4	real	0.0*	s0p_he3he4	canonical		
physics	s0p_1_12	real	0.0*	s0p_p_c12	canonical		
physics	s0p_1_13	real	0.0*	s0p_p_c13	canonical		
physics	s0p_1_14	real	0.0*	s0p_p_n14	canonical		
physics	s0p_1_16	real	0.0*	s0p_p_o16	canonical		
physics	s0pp_1_12	real	0.0*	s0pp_p_c12	canonical		
physics	s0pp_1_13	real	0.0*	s0pp_p_c13	canonical		
physics	s0pp_1_16	real	0.0*	s0pp_p_o16	canonical		
physics	s0p_1_be7p	real	0.0*	s0p_be7_p	canonical		
physics	s0pp_1_be7p	real	0.0*	s0pp_be7_p	canonical		
physics	flag_dx	real	0.0*	flag_dx	keep		former common/newparam/: all 30 NAMELIST values (the "intuitively named" timestep/tolerance parameters replacing DTDIF/DTWIND/HPTTOL/ ATIME) are spelled identically to th
physics	flag_dw	real	0.0*	flag_dw	keep		former common/newparam/: all 30 NAMELIST values (the "intuitively named" timestep/tolerance parameters replacing DTDIF/DTWIND/HPTTOL/ ATIME) are spelled identically to th
physics	flag_dz	real	0.0*	flag_dz	keep		former common/newparam/: all 30 NAMELIST values (the "intuitively named" timestep/tolerance parameters replacing DTDIF/DTWIND/HPTTOL/ ATIME) are spelled identically to th
physics	lstruct_time	logical	.false.*	lstruct_time	keep		
physics	time_core_min	real	0.0*	time_core_min	keep		
physics	time_dl	real	0.0*	time_dl	keep		
physics	time_dp	real	0.0*	time_dp	keep		
physics	time_dr	real	0.0*	time_dr	keep		
physics	time_dt	real	0.0*	time_dt	keep		
physics	time_dw_global	real	0.0*	time_dw_global	keep		
physics	time_dw_mix	real	0.0*	time_dw_mix	keep		
physics	time_dx_core_frac	real	0.0*	time_dx_core_frac	keep		
physics	time_dx_core_tot	real	0.0*	time_dx_core_tot	keep		
physics	time_dx_shell	real	0.0*	time_dx_shell	keep		
physics	time_dx_total	real	0.0*	time_dx_total	keep		
physics	time_dy_core_frac	real	0.0*	time_dy_core_frac	keep		
physics	time_dy_core_tot	real	0.0*	time_dy_core_tot	keep		
physics	time_dy_shell	real	0.0*	time_dy_shell	keep		
physics	time_dy_total	real	0.0*	time_dy_total	keep		
physics	tol_czbase_fine_width	real	0.0*	tol_czbase_fine_width	keep		
physics	tol_dl_max	real	0.0*	tol_dl_max	keep		
physics	tol_dm_max	real	0.0*	tol_dm_max	keep		
physics	tol_dm_min	real	0.0*	tol_dm_min	keep		
physics	tol_dp_core_max	real	0.0*	tol_dp_core_max	keep		
physics	tol_dp_czbase_max	real	0.0*	tol_dp_czbase_max	keep		
physics	tol_dp_env_max	real	0.0*	tol_dp_env_max	keep		
physics	tol_dx_max	real	0.0*	tol_dx_max	keep		
physics	tol_dz_max	real	0.0*	tol_dz_max	keep		
physics	time_max_dt_frac	real	0.0*	time_max_dt_frac	keep		
physics	lnewvars	logical	.false.*	use_new_rate_variables	verified		remap: use the new nuclear-rate variable set
physics	lnewtcz	logical	.false.*	use_new_turnover_timescale	canonical		former common/ovrtrn/'s two config members: NAMELIST /physics/ values selecting the newer convective-turnover-timescale calculation and whether to run the full envelope i
physics	lcalcenv	logical	.false.*	calc_envelope_flag	canonical		
control	use_legacy_output	logical	.true. legacy decks / .false. new-style inlists	use_legacy_output	verified		Output style: .true. = historical .track/.store streams; .false. = MESA-format output (.history now, profiles to follow). Default depends on inlist style.
